movie_title,genres,title_year,imdb_score,actor_1_name,actor_2_name,actor_3_name,language,country
Guess Who ,Comedy|Romance,2005,5.9,Bernie Mac,Nicole Sullivan,Sherri Shepherd,English,USA
The English Patient ,Drama|Romance|War,1996,7.4,Colin Firth,Kristin Scott Thomas,Jürgen Prochnow,English,USA
L.A. Confidential ,Crime|Drama|Mystery|Thriller,1997,8.3,Kevin Spacey,Matt McCoy,Paul Guilfoyle,English,USA
Sky High ,Adventure|Comedy|Family|Sci-Fi,2005,6.2,Michael Angarano,Kelly Preston,Nicholas Braun,English,USA
In & Out ,Comedy,1997,6.3,Tom Selleck,Wilford Brimley,Lauren Ambrose,English,USA
Species ,Action|Horror|Sci-Fi|Thriller,1995,5.8,Natasha Henstridge,Marg Helgenberger,Jordan Lund,English,USA
A Nightmare on Elm Street ,Horror,1984,7.5,Johnny Depp,Lin Shaye,Amanda Wyss,English,USA
The Cell ,Horror|Sci-Fi|Thriller,2000,6.3,Dylan Baker,Jake Weber,James Gammon,English,USA
The Man in the Iron Mask ,Action|Adventure,1998,6.4,Leonardo DiCaprio,Anne Parillaud,Judith Godrèche,English,USA
Secretariat ,Biography|Drama|Family|History|Sport,2010,7.2,Scott Glenn,Kevin Connolly,Dylan Walsh,English,USA
TMNT ,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,2007,6.3,Chris Evans,Sarah Michelle Gellar,Mako,English,Hong Kong
Radio ,Biography|Drama|Sport,2003,6.9,Alfre Woodard,Riley Smith,Debra Winger,English,USA
Friends with Benefits ,Comedy|Romance,2011,6.6,Mila Kunis,Justin Timberlake,Masi Oka,English,USA
Neighbors 2: Sorority Rising ,Comedy,2016,6,Chloë Grace Moretz,Ike Barinholtz,Kiersey Clemons,English,USA
Saving Mr. Banks ,Biography|Comedy|Drama|History|Music,2013,7.5,Tom Hanks,Ruth Wilson,B.J. Novak,English,USA
Malcolm X ,Biography|Drama|History|Romance,1992,7.7,Denzel Washington,Delroy Lindo,Al Freeman Jr.,English,USA
This Is 40 ,Comedy,2012,6.2,Charlyne Yi,Maude Apatow,Mackenzie Aladjem,English,USA
Old Dogs ,Comedy|Family,2009,5.4,Robin Williams,Bernie Mac,Ann-Margret,English,USA
Underworld: Rise of the Lycans ,Action|Adventure|Fantasy|Sci-Fi|Thriller,2009,6.6,Craig Parker,Kevin Grevioux,Steven Mackintosh,English,USA
License to Wed ,Comedy|Romance,2007,5.3,Robin Williams,Christine Taylor,Mindy Kaling,English,USA
The Benchwarmers ,Comedy|Romance|Sport,2006,5.6,Jon Lovitz,Jon Heder,Tim Meadows,English,USA
Must Love Dogs ,Comedy|Romance,2005,5.9,Stockard Channing,Victor Webster,Elizabeth Perkins,English,USA
Donnie Brasco ,Biography|Crime|Drama,1997,7.8,Johnny Depp,Al Pacino,Anne Heche,English,USA
Resident Evil ,Action|Horror|Sci-Fi,2002,6.7,Milla Jovovich,Jaymes Butler,Colin Salmon,English,UK
Poltergeist ,Fantasy|Horror,1982,7.4,Heather O'Rourke,Zelda Rubinstein,Craig T. Nelson,English,USA
The Ladykillers ,Comedy|Crime|Thriller,2004,6.2,J.K. Simmons,Tom Hanks,Stephen Root,English,USA
Max Payne ,Action|Crime|Drama|Mystery|Thriller,2008,5.4,Mila Kunis,Beau Bridges,Jamie Hector,English,Canada
In Time ,Action|Sci-Fi|Thriller,2011,6.7,Matt Bomer,Olivia Wilde,Justin Timberlake,English,USA
The Back-up Plan ,Comedy|Romance,2010,5.3,Danneel Ackles,Noureen DeWulf,Tom Bosley,English,USA
Something Borrowed ,Comedy|Drama|Romance,2011,5.9,Ashley Williams,Steve Howey,Kirsten Day,English,USA
Hit the Floor             ,Drama|Romance,,7,Jodi Lyn O'Keefe,Kimberly Elise,Logan Browning,English,USA
Black Knight ,Adventure|Comedy|Fantasy,2001,4.8,Tom Wilkinson,Marsha Thomason,Vincent Regan,English,USA
The Bad News Bears ,Comedy|Drama|Family|Sport,1976,7.3,Tatum O'Neal,Vic Morrow,Joyce Van Patten,English,USA
Street Fighter ,Action|Adventure|Comedy|Thriller,1994,3.8,Ming-Na Wen,Raul Julia,Kylie Minogue,English,Japan
The Pianist ,Biography|Drama|War,2002,8.5,Emilia Fox,Frank Finlay,Ed Stoppard,English,France
From Hell ,Horror|Mystery|Thriller,2001,6.8,Johnny Depp,Jason Flemyng,Ian Richardson,English,USA
The Nativity Story ,Drama|Family|Fantasy,2006,6.8,Keisha Castle-Hughes,Hiam Abbass,Shaun Toub,English,USA
House of Wax ,Horror,2005,5.3,Robert Ri'chard,Paris Hilton,Brian Van Holt,English,Australia
Closer ,Drama|Romance,2004,7.3,Natalie Portman,Julia Roberts,Colin Stinton,English,USA
J. Edgar ,Biography|Crime|Drama,2011,6.6,Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever,English,USA
Mirrors ,Horror|Mystery,2008,6.2,Jason Flemyng,Cameron Boyce,Julian Glover,English,USA
Queen of the Damned ,Drama|Fantasy|Horror,2002,5.2,Aaliyah,Lena Olin,Bruce Spence,English,USA
Predator 2 ,Action|Horror|Sci-Fi,1990,6.2,Adam Baldwin,Robert Davi,Kevin Peter Hall,English,USA
Untraceable ,Crime|Drama|Thriller,2008,6.2,Billy Burke,Jesse Tyler Ferguson,Joseph Cross,English,USA
Blast from the Past ,Comedy|Drama|Romance|Sci-Fi,1999,6.6,Brendan Fraser,Sissy Spacek,Douglas Smith,English,USA
Flash Gordon ,Action|Adventure|Sci-Fi,1980,6.4,Brian Blessed,William Hootkins,Sam J. Jones,English,UK
Jersey Girl ,Comedy|Drama|Romance,2004,6.2,Stephen Root,Mike Starr,George Carlin,English,USA
Alex Cross ,Action|Crime|Mystery|Thriller,2012,5.1,Cicely Tyson,Chad Lindberg,Carmen Ejogo,English,USA
Midnight in the Garden of Good and Evil ,Crime|Drama|Mystery|Thriller,1997,6.6,Kevin Spacey,Bob Gunton,Leon Rippy,English,USA
Heist ,Action|Crime|Thriller,2015,6.1,Robert De Niro,Joshua Mikel,D.B. Sweeney,English,USA
Nanny McPhee Returns ,Comedy|Family|Fantasy,2010,6.1,Daniel Mays,Bill Bailey,Eros Vlahos,English,UK
Hoffa ,Biography|Crime|Drama,1992,6.6,Frank Whaley,J.T. Walsh,Paul Guilfoyle,English,USA
The X Files: I Want to Believe ,Drama|Mystery|Sci-Fi|Thriller,2008,5.9,Mitch Pileggi,Callum Rennie,Nicki Aycox,English,USA
Ella Enchanted ,Comedy|Family|Fantasy|Romance,2004,6.3,Anne Hathaway,Steve Coogan,Joanna Lumley,English,USA
Concussion ,Biography|Drama|Sport,2015,7.1,Will Smith,Eddie Marsan,Albert Brooks,English,UK
Abduction ,Action|Mystery|Thriller,2011,5,Ken Arnold,Benjamin J. Cain Jr.,Richard Cetrone,English,USA
Valiant ,Adventure|Animation|Comedy|Family|War,2005,5.6,Jim Broadbent,Olivia Williams,Pip Torrens,English,UK
Wonder Boys ,Comedy|Drama,2000,7.4,Robert Downey Jr.,Rip Torn,Richard Thomas,English,USA
Superhero Movie ,Action|Comedy|Sci-Fi|Thriller,2008,4.5,Drake Bell,Tracy Morgan,Marion Ross,English,USA
Broken City ,Crime|Drama|Thriller,2013,6.2,Alona Tal,James Ransone,Michael Beach,English,USA
Cursed ,Comedy|Horror,2005,5,Shannon Elizabeth,Portia de Rossi,Derek Mears,English,USA
Premium Rush ,Action|Crime|Thriller,2012,6.5,Joseph Gordon-Levitt,Dania Ramirez,Aasif Mandvi,English,USA
Hot Pursuit ,Action|Comedy|Crime,2015,5.1,Jim Gaffigan,Richard T. Jones,Michael Mosley,English,USA
The Four Feathers ,Adventure|Drama|Romance|War,2002,6.5,Djimon Hounsou,Lucy Gordon,Alex Jennings,English,UK
Parker ,Action|Crime|Romance|Thriller,2013,6.2,Jason Statham,Clifton Collins Jr.,Wendell Pierce,English,USA
Wimbledon ,Comedy|Romance|Sport,2004,6.3,Kirsten Dunst,Jon Favreau,Austin Nichols,English,UK
Furry Vengeance ,Comedy|Family,2010,3.8,Brendan Fraser,Brooke Shields,Matt Prokop,English,USA
Bait ,Action|Horror|Sci-Fi,2012,5.2,Alex Russell,Cariba Heine,Richard Brancatisano,English,Australia
Krull ,Action|Adventure|Fantasy,1983,6,Liam Neeson,Alun Armstrong,Lysette Anthony,English,UK
Lions for Lambs ,Drama|Thriller|War,2007,6.2,Meryl Streep,Tom Cruise,Andrew Garfield,English,USA
Flight of the Intruder ,Action|Drama|Thriller|War,1991,5.7,Rosanna Arquette,Dann Florek,Christopher Rich,English,USA
Walk Hard: The Dewey Cox Story ,Comedy|Music,2007,6.7,Tim Meadows,Nat Faxon,Matt Price,English,USA
The Shipping News ,Drama,2001,6.8,Kevin Spacey,Scott Glenn,Jason Behr,English,USA
American Outlaws ,Action|Western,2001,6,Gregory Smith,Ronny Cox,Harris Yulin,English,USA
The Young Victoria ,Biography|Drama|History|Romance,2009,7.3,Michiel Huisman,Jim Broadbent,Thomas Kretschmann,English,UK
Whiteout ,Action|Crime|Mystery|Thriller,2009,5.5,Tom Skerritt,Bashar Rahal,Shawn Doyle,English,USA
The Tree of Life ,Drama|Fantasy,2011,6.7,Brad Pitt,Tye Sheridan,Fiona Shaw,English,USA
Knock Off ,Action|Comedy|Thriller,1998,4.8,Paul Sorvino,Lela Rochon,Ray Nicholas,English,Aruba
Sabotage ,Action|Crime|Drama|Thriller,2014,5.7,Mireille Enos,Martin Donovan,Maurice Compte,English,USA
The Order ,Action|Mystery|Thriller,2003,5.1,Heath Ledger,Mark Addy,Benno Fürmann,English,USA
Punisher: War Zone ,Action|Crime|Drama|Thriller,2008,6,Julie Benz,Wayne Knight,Colin Salmon,English,USA
Zoom ,Action|Adventure|Family|Sci-Fi,2006,4.2,Kevin Zegers,Rip Torn,Thomas F. Wilson,English,USA
The Walk ,Adventure|Biography|Drama|Thriller,2015,7.4,Joseph Gordon-Levitt,Soleyman Pierini,Jade Kindar-Martin,English,USA
Warriors of Virtue ,Action|Adventure|Fantasy,1997,4.6,Marley Shelton,Lee Arenberg,Angus Macfadyen,English,USA
A Good Year ,Comedy|Drama|Romance,2006,6.9,Archie Panjabi,Albert Finney,Richard Coyle,English,USA
Luther             ,Crime|Drama|Mystery|Thriller,,8.6,Ruth Wilson,Indira Varma,Warren Brown,English,UK
Radio Flyer ,Drama,1992,6.9,Adam Baldwin,Thomas Ian Nicholas,John Heard,English,USA
"Blood In, Blood Out ",Crime|Drama,1993,8,Delroy Lindo,Jesse Borrego,Raymond Cruz,English,USA
Smilla's Sense of Snow ,Action|Drama|Sci-Fi|Thriller,1997,6.4,Jim Broadbent,Tom Wilkinson,Julia Ormond,English,Denmark
Femme Fatale ,Crime|Drama|Mystery|Thriller,2002,6.3,Peter Coyote,Gregg Henry,Rie Rasmussen,English,France
Lion of the Desert ,Biography|Drama|History|War,1980,8.4,Oliver Reed,Rod Steiger,John Gielgud,English,Libya
The Horseman on the Roof ,Adventure|Drama|Romance|War,1995,7.1,Olivier Martinez,François Cluzet,Isabelle Carré,French,France
Ride with the Devil ,Drama|Romance|War|Western,1999,6.8,Jeremy W. Auman,Jeffrey Dover,Tobey Maguire,English,USA
Biutiful ,Drama,2010,7.5,Maricel Álvarez,Hanaa Bouchaib,Eduard Fernández,Spanish,Mexico
The Lovers ,Action|Adventure|Romance|Sci-Fi,2015,4.5,Tamsin Egerton,Alice Englert,Bipasha Basu,English,Belgium
Bandidas ,Action|Comedy|Crime|Western,2006,5.7,Salma Hayek,Sam Shepard,Dwight Yoakam,English,France
Black Water Transit ,Crime|Drama,2009,7.2,Bill Cobbs,Aisha Tyler,Beverly D'Angelo,English,USA
The Maze Runner ,Action|Mystery|Sci-Fi|Thriller,2014,6.8,Ki Hong Lee,Aml Ameen,Jacob Latimore,English,USA
Unfinished Business ,Comedy,2015,5.4,Tom Wilkinson,June Diane Raphael,Melissa McMeekin,English,USA
The Age of Innocence ,Drama|Romance,1993,7.2,Richard E. Grant,Geraldine Chaplin,Stuart Wilson,English,USA
The Fountain ,Drama|Sci-Fi,2006,7.3,Hugh Jackman,Ellen Burstyn,Mark Margolis,English,USA
Chill Factor ,Action|Adventure|Comedy|Drama|Thriller,1999,5.2,David Paymer,Kevin J. O'Connor,Hudson Leick,English,USA
Stolen ,Action|Crime|Drama|Thriller,2012,5.5,Nicolas Cage,Mark Valley,Sami Gayle,English,USA
Ponyo ,Adventure|Animation|Family|Fantasy,2008,7.7,Rumi Hiiragi,Yûki Amami,Yuria Nara,Japanese,Japan
The Longest Ride ,Drama|Romance,2015,7.1,Tiago Riani,Melissa Benoist,Hayley Lovitt,English,USA
The Astronaut's Wife ,Drama|Sci-Fi|Thriller,1999,5.3,Johnny Depp,Charlize Theron,Clea DuVall,English,USA
I Dreamed of Africa ,Adventure|Drama|Romance,2000,5.6,Liam Aiken,Eva Marie Saint,Vincent Perez,English,USA
Playing for Keeps ,Comedy|Romance|Sport,2012,5.7,Gerard Butler,Dennis Quaid,Judy Greer,English,USA
Mandela: Long Walk to Freedom ,Biography|Drama|History,2013,7.1,Terry Pheto,Fana Mokoena,Tony Kgoroge,English,UK
Reds ,Biography|Drama|History|Romance,1981,7.5,Paul Sorvino,Warren Beatty,M. Emmet Walsh,English,USA
A Few Good Men ,Drama|Thriller,1992,7.6,Tom Cruise,Demi Moore,Kevin Pollak,English,USA
Exit Wounds ,Action|Comedy|Crime|Drama|Thriller,2001,5.5,Michael Jai White,Bill Duke,Bruce McGill,English,USA
Big Momma's House ,Action|Comedy|Crime,2000,5.1,Nia Long,Cedric the Entertainer,Tichina Arnold,English,USA
Thunder and the House of Magic ,Adventure|Animation|Comedy|Family|Fantasy,2013,6.3,Kyle Hebert,Brianne Brozey,Joe Ochman,English,Belgium
The Darkest Hour ,Action|Adventure|Horror|Sci-Fi|Thriller,2011,4.9,Max Minghella,Veronika Vernadskaya,Dato Bakhtadze,English,USA
Step Up Revolution ,Drama|Music|Romance,2012,6.5,Ryan Guzman,Stephen Boss,Misha Gabriel Hamilton,English,USA
Snakes on a Plane ,Action|Adventure|Crime|Drama|Thriller,2006,5.6,Lin Shaye,Kenan Thompson,Rachel Blanchard,English,Germany
The Watcher ,Crime|Horror|Mystery|Thriller,2000,5.3,Keanu Reeves,Joseph Sikora,Chris Ellis,English,USA
The Punisher ,Action|Crime|Drama|Thriller,2004,6.5,Laura Harring,Marco St. John,Eddie Jemison,English,USA
Goal! The Dream Begins ,Drama|Romance|Sport,2005,6.8,Sean Pertwee,Kuno Becker,Stephen Dillane,English,USA
Safe ,Action|Crime|Thriller,2012,6.5,Jason Statham,Reggie Lee,Robert John Burke,English,USA
Pushing Tin ,Comedy|Drama|Romance,1999,6,Angelina Jolie Pitt,Kurt Fuller,Jake Weber,English,USA
Star Wars: Episode VI - Return of the Jedi ,Action|Adventure|Fantasy|Sci-Fi,1983,8.4,Harrison Ford,Ian McDiarmid,Kenny Baker,English,USA
Doomsday ,Action|Sci-Fi|Thriller,2008,6,Ryan Kruger,Jason Cope,Jeremy Crutchley,English,UK
The Reader ,Drama|Romance,2008,7.6,Kate Winslet,David Kross,Susanne Lothar,English,USA
Wanderlust ,Comedy,2012,5.6,Justin Theroux,Lauren Ambrose,Joe Lo Truglio,English,USA
Elf ,Comedy|Family|Fantasy|Romance,2003,6.9,Peter Dinklage,Zooey Deschanel,Will Ferrell,English,USA
Phenomenon ,Drama|Fantasy|Romance|Sci-Fi,1996,6.4,Robert Duvall,Kyra Sedgwick,David Gallagher,English,USA
Snow Dogs ,Adventure|Comedy|Family|Sport,2002,5.1,James Coburn,Nichelle Nichols,M. Emmet Walsh,English,Canada
Scrooged ,Comedy|Drama|Fantasy,1988,7,Bill Murray,Alfre Woodard,Robert Mitchum,English,USA
Nacho Libre ,Comedy|Family|Sport,2006,5.7,Ana de la Reguera,Moises Arias,Héctor Jiménez,English,Germany
Bridesmaids ,Comedy|Romance,2011,6.8,Matt Lucas,Wendi McLendon-Covey,Steve Bannos,English,USA
This Is the End ,Comedy|Fantasy,2013,6.7,Channing Tatum,James Franco,Emma Watson,English,USA
Stigmata ,Horror,1999,6.2,Nia Long,Enrico Colantoni,Portia de Rossi,English,USA
Men of Honor ,Biography|Drama,2000,7.2,Robert De Niro,Charlize Theron,Michael Rapaport,English,USA
Takers ,Action|Crime|Thriller,2010,6.2,Paul Walker,Hayden Christensen,Jay Hernandez,English,USA
The Big Wedding ,Comedy,2013,5.6,Robin Williams,Robert De Niro,Topher Grace,English,USA
"Big Mommas: Like Father, Like Son ",Action|Comedy|Crime,2011,4.4,Brandon T. Jackson,Tony Curran,Portia Doubleday,English,USA
Source Code ,Mystery|Sci-Fi|Thriller,2011,7.5,Jake Gyllenhaal,Cas Anvar,Russell Peters,English,USA
Alive ,Adventure|Biography|Drama|Thriller,1993,7.1,Illeana Douglas,Danny Nucci,Michael DeLorenzo,English,USA
The Number 23 ,Mystery|Thriller,2007,6.4,Logan Lerman,Virginia Madsen,Ed Lauter,English,USA
The Young and Prodigious T.S. Spivet ,Action|Adventure|Drama|Family,2013,7.1,Callum Rennie,Julian Richings,Judy Davis,English,France
1941 ,Action|Comedy|War,1979,5.9,Christopher Lee,John Belushi,Treat Williams,English,USA
Dreamer: Inspired by a True Story ,Drama|Family|Sport,2005,6.9,Ken Howard,Freddy Rodríguez,Holmes Osborne,English,USA
A History of Violence ,Crime|Drama|Thriller,2005,7.5,Viggo Mortensen,Kyle Schmid,William Hurt,English,USA
Transporter 2 ,Action|Crime|Thriller,2005,6.3,Jason Statham,Jason Flemyng,Matthew Modine,English,France
The Quick and the Dead ,Action|Thriller|Western,1995,6.4,Leonardo DiCaprio,Pat Hingle,Roberts Blossom,English,Japan
Laws of Attraction ,Comedy|Romance,2004,5.9,Frances Fisher,Mike Doyle,Nora Dunn,English,Ireland
Bringing Out the Dead ,Drama|Thriller,1999,6.8,Nicolas Cage,Marc Anthony,Sonja Sohn,English,USA
Repo Men ,Action|Crime|Sci-Fi|Thriller,2010,6.3,Alice Braga,RZA,Yvette Nicole Brown,English,USA
Dragon Wars: D-War ,Action|Drama|Fantasy|Horror|Thriller,2007,3.6,Robert Forster,Aimee Garcia,Chris Mulkey,English,South Korea
Bogus ,Comedy|Family|Fantasy,1996,5.3,Haley Joel Osment,Nancy Travis,Andrea Martin,English,USA
The Incredible Burt Wonderstone ,Comedy,2013,5.9,Steve Buscemi,Olivia Wilde,Steve Carell,English,USA
Cats Don't Dance ,Animation|Comedy|Family|Fantasy|Musical,1997,6.9,George Kennedy,Frank Welker,Hal Holbrook,English,USA
Cradle Will Rock ,Drama,1999,6.9,Bill Murray,Vanessa Redgrave,Emily Watson,English,USA
The Good German ,Drama|Mystery|Thriller,2006,6.1,Tony Curran,Beau Bridges,Leland Orser,English,USA
George and the Dragon ,Action|Adventure|Comedy|Fantasy|Romance,2004,5.7,Joan Plowright,Rollo Weeks,Simon Callow,English,USA
Apocalypse Now ,Drama|War,1979,8.5,Harrison Ford,Marlon Brando,Robert Duvall,English,USA
Going the Distance ,Comedy|Romance,2010,6.3,Rob Riggle,Kelli Garner,Jim Gaffigan,English,USA
Mr. Holland's Opus ,Drama|Music,1995,7.3,Alicia Witt,Olympia Dukakis,Jean Louisa Kelly,English,USA
Criminal ,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,2016,6.3,Gary Oldman,Jordi Mollà,Doug Cockle,English,UK
Out of Africa ,Biography|Drama|Romance,1985,7.2,Meryl Streep,Michael Gough,Michael Kitchen,English,USA
Flight ,Drama|Thriller,2012,7.3,Denzel Washington,Bruce Greenwood,Nadine Velazquez,English,USA
Moonraker ,Action|Adventure|Sci-Fi|Thriller,1979,6.3,Desmond Llewelyn,Lois Chiles,Lois Maxwell,English,UK
The Grand Budapest Hotel ,Adventure|Comedy|Crime|Drama,2014,8.1,Bill Murray,Tom Wilkinson,F. Murray Abraham,English,USA
Hearts in Atlantis ,Drama|Mystery,2001,6.9,Anthony Hopkins,Mika Boorem,Hope Davis,English,USA
Arachnophobia ,Comedy|Fantasy|Horror|Thriller,1990,6.3,Julian Sands,Peter Jason,Brian McNamara,English,USA
Frequency ,Crime|Drama|Mystery|Sci-Fi|Thriller,2000,7.3,Dennis Quaid,Andre Braugher,Noah Emmerich,English,USA
Ghostbusters ,Action|Comedy|Fantasy|Sci-Fi,2016,5.5,Ed Begley Jr.,Kate McKinnon,Zach Woods,English,USA
Vacation ,Adventure|Comedy,2015,6.1,Chris Hemsworth,Norman Reedus,Beverly D'Angelo,English,USA
Get Shorty ,Comedy|Crime|Thriller,1995,6.9,Delroy Lindo,Rene Russo,Jon Gries,English,USA
Chicago ,Comedy|Crime|Musical,2002,7.2,Colm Feore,Chita Rivera,Jayne Eastwood,English,USA
Big Daddy ,Comedy|Drama,1999,6.4,Steve Buscemi,Adam Sandler,Joey Lauren Adams,English,USA
American Pie 2 ,Comedy,2001,6.4,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,English,USA
Toy Story ,Adventure|Animation|Comedy|Family|Fantasy,1995,8.3,Tom Hanks,John Ratzenberger,Jim Varney,English,USA
Speed ,Action|Adventure|Crime|Thriller,1994,7.2,Keanu Reeves,Alan Ruck,Joe Morton,English,USA
The Vow ,Drama|Romance,2012,6.8,Channing Tatum,Lucas Bryant,Dillon Casey,English,USA
Extraordinary Measures ,Drama,2010,6.5,Harrison Ford,Brendan Fraser,Alan Ruck,English,USA
Remember the Titans ,Biography|Drama|Sport,2000,7.8,Ryan Gosling,Denzel Washington,Ethan Suplee,English,USA
The Hunt for Red October ,Action|Adventure|Thriller,1990,7.6,Scott Glenn,Jeffrey Jones,Courtney B. Vance,English,USA
Lee Daniels' The Butler ,Biography|Drama,2013,7.2,Alex Pettyfer,David Oyelowo,Vanessa Redgrave,English,USA
Dodgeball: A True Underdog Story ,Comedy|Sport,2004,6.7,Gary Cole,Stephen Root,Joel David Moore,English,USA
The Addams Family ,Comedy|Fantasy,1991,6.8,Anjelica Huston,Raul Julia,Carel Struycken,English,USA
Ace Ventura: When Nature Calls ,Adventure|Comedy,1995,6.3,Bruce Spence,Bob Gunton,Sophie Okonedo,English,USA
The Princess Diaries ,Comedy|Family|Romance,2001,6.2,Anne Hathaway,Hector Elizondo,Heather Matarazzo,English,USA
The First Wives Club ,Comedy,1996,6.2,Stockard Channing,Elizabeth Berkley,Stephen Collins,English,USA
Se7en ,Crime|Drama|Mystery|Thriller,1995,8.6,Morgan Freeman,Brad Pitt,Reg E. Cathey,English,USA
District 9 ,Action|Sci-Fi|Thriller,2009,8,Sharlto Copley,Jed Brophy,Jason Cope,English,South Africa
The SpongeBob SquarePants Movie ,Adventure|Animation|Comedy|Family|Fantasy,2004,7,Scarlett Johansson,Bill Fagerbakke,Rodger Bumpass,English,USA
Mystic River ,Crime|Drama|Mystery|Thriller,2003,8,John Doman,Spencer Treat Clark,Tom Guiry,English,USA
Million Dollar Baby ,Drama|Sport,2004,8.1,Clint Eastwood,Morgan Freeman,Mike Colter,English,USA
Analyze This ,Comedy|Crime,1999,6.7,Robert De Niro,Chazz Palminteri,Molly Shannon,English,USA
The Notebook ,Drama|Romance,2004,7.9,Ryan Gosling,Kevin Connolly,Gena Rowlands,English,USA
27 Dresses ,Comedy|Romance,2008,6.1,Judy Greer,Bern Cohen,Yetta Gottesman,English,USA
Hannah Montana: The Movie ,Comedy|Drama|Family|Music|Romance,2009,4.2,Emily Osment,Vanessa Williams,Moises Arias,English,USA
Rugrats in Paris: The Movie ,Adventure|Animation|Comedy|Family|Romance,2000,6.1,Elizabeth Daily,Casey Kasem,Debbie Reynolds,English,Germany
The Prince of Tides ,Drama|Romance,1991,6.6,George Carlin,Blythe Danner,Melinda Dillon,English,USA
Legends of the Fall ,Drama|Romance|War|Western,1994,7.5,Anthony Hopkins,Brad Pitt,Julia Ormond,English,USA
Up in the Air ,Drama|Romance,2009,7.4,J.K. Simmons,Anna Kendrick,Chris Lowell,English,USA
About Schmidt ,Comedy|Drama,2002,7.2,Hope Davis,June Squibb,Howard Hesseman,English,USA
Warm Bodies ,Comedy|Horror|Romance,2013,6.9,Cory Hardrict,Vincent Leclerc,Daniel Rindress-Kay,English,USA
Looper ,Action|Crime|Drama|Sci-Fi|Thriller,2012,7.4,Joseph Gordon-Levitt,Bruce Willis,Tracie Thoms,English,USA
Down to Earth ,Comedy|Fantasy,2001,5.4,Chazz Palminteri,Mark Addy,Wanda Sykes,English,USA
Babe ,Comedy|Drama|Family,1995,6.8,Miriam Margolyes,Christine Cavanaugh,Roscoe Lee Browne,English,Australia
Hope Springs ,Comedy|Drama|Romance,2012,6.3,Meryl Streep,Steve Carell,Jean Smart,English,USA
Forgetting Sarah Marshall ,Comedy|Drama|Romance,2008,7.2,Mila Kunis,Jack McBrayer,Maria Thayer,English,USA
Friday Night Lights             ,Drama|Sport,,8.7,Zach Gilford,Aimee Teegarden,Scott Porter,English,USA
Four Brothers ,Action|Crime|Drama|Mystery|Thriller,2005,6.9,Josh Charles,Tony Nappo,Fionnula Flanagan,English,USA
Baby Mama ,Comedy|Romance,2008,6,Tina Fey,Amy Poehler,Romany Malco,English,USA
Hope Floats ,Drama|Romance,1998,5.9,Bill Cobbs,Harry Connick Jr.,Gena Rowlands,English,USA
Bride Wars ,Comedy|Romance,2009,5.4,Anne Hathaway,Steve Howey,Candice Bergen,English,USA
Without a Paddle ,Adventure|Comedy|Mystery,2004,5.9,Antony Starr,Scott Adsit,Bonnie Somerville,English,USA
13 Going on 30 ,Comedy|Fantasy|Romance,2004,6.1,Jennifer Garner,Judy Greer,Christa B. Allen,English,USA
Midnight in Paris ,Comedy|Fantasy|Romance,2011,7.7,Kurt Fuller,Audrey Fleurot,Nina Arianda,English,Spain
The Nut Job ,Adventure|Animation|Comedy|Family,2014,5.8,Liam Neeson,Brendan Fraser,Sarah Gadon,English,Canada
Blow ,Biography|Crime|Drama,2001,7.6,Johnny Depp,Ethan Suplee,Jordi Mollà,English,USA
Message in a Bottle ,Drama|Romance,1999,6.1,Robin Wright,John Savage,Raphael Sbarge,English,USA
Star Trek V: The Final Frontier ,Action|Adventure|Sci-Fi|Thriller,1989,5.4,Leonard Nimoy,Nichelle Nichols,Walter Koenig,English,USA
Like Mike ,Comedy|Family|Fantasy|Sport,2002,5.1,Brenda Song,Robert Forster,Anne Meara,English,USA
Naked Gun 33 1/3: The Final Insult ,Comedy|Crime,1994,6.4,George Kennedy,Fred Ward,Priscilla Presley,English,USA
A View to a Kill ,Action|Adventure|Thriller,1985,6.3,Patrick Macnee,Alison Doody,Tanya Roberts,English,UK
The Curse of the Were-Rabbit ,Animation|Comedy|Family|Mystery|Sci-Fi,2005,7.5,Mark Gatiss,Geraldine McEwan,Peter Sallis,English,UK
P.S. I Love You ,Drama|Romance,2007,7.1,Gerard Butler,Harry Connick Jr.,Nellie McKay,English,USA
Racing Stripes ,Adventure|Comedy|Drama|Family|Sport,2005,5.2,Bruce Greenwood,Frankie Muniz,M. Emmet Walsh,English,USA
Atonement ,Drama|Mystery|Romance|War,2007,7.8,Benedict Cumberbatch,Alfie Allen,Brenda Blethyn,English,UK
Letters to Juliet ,Comedy|Drama|Romance,2010,6.5,Vanessa Redgrave,Marcia DeBonis,Luisa Ranieri,English,USA
Black Rain ,Action|Crime|Thriller,1989,6.6,Stephen Root,Ken Takakura,Kate Capshaw,English,USA
The Three Stooges ,Comedy,2012,5.1,Kate Upton,Larry David,Sean Hayes,English,USA
Corpse Bride ,Animation|Drama|Family|Fantasy|Musical|Romance,2005,7.4,Johnny Depp,Christopher Lee,Joanna Lumley,English,USA
Glory Road ,Biography|Drama|Sport,2006,7.2,Mehcad Brooks,Austin Nichols,Derek Luke,English,USA
